Chrono;Time;MIDS Status;DLIP Saturation;TDH029;retard (ms)
83.2819;00:01:23.281;;;;9
83.2870;00:01:23.287;;;;8
83.2873;00:01:23.287;;;;8
83.3016;00:01:23.301;;;;9
83.3020;00:01:23.302;;;;9
83.3071;00:01:23.307;;;;8
83.3074;00:01:23.307;;;;8
83.3217;00:01:23.321;;;;9
83.3221;00:01:23.322;;;;9
83.3272;00:01:23.327;;;;8
83.3275;00:01:23.327;;;;8
83.3418;00:01:23.341;;;;9
83.3422;00:01:23.342;;;;9
83.3473;00:01:23.347;;;;8
83.3476;00:01:23.347;;;;8
83.3618;00:01:23.361;;;;9
83.3622;00:01:23.362;;;;9
83.3673;00:01:23.367;;;;8
83.3676;00:01:23.367;;;;8
83.3820;00:01:23.382;;;;9
83.3824;00:01:23.382;;;;9
83.3875;00:01:23.387;;;;8
83.3877;00:01:23.387;;;;8
83.4020;00:01:23.402;;;;9
83.4024;00:01:23.402;;;;9
83.4075;00:01:23.407;;;;8
83.4078;00:01:23.407;;;;8
83.4221;00:01:23.422;;;;9
83.4225;00:01:23.422;;;;9
83.4276;00:01:23.427;;;;8
83.4279;00:01:23.427;;;;8
83.4422;00:01:23.442;;;;9
83.4426;00:01:23.442;;;;9
83.4478;00:01:23.447;;;;9
83.4484;00:01:23.448;;;;9
83.4623;00:01:23.462;;;;9
83.4627;00:01:23.462;;;;9
83.4679;00:01:23.467;;;;9
83.4683;00:01:23.468;;;;9
83.4824;00:01:23.482;;;;9
83.4828;00:01:23.482;;;;9
83.4880;00:01:23.488;;;;9
83.4885;00:01:23.488;;;;9
